DATE,INDPRO
7/1/1938,6.2032
8/1/1938,6.5355
9/1/1938,6.7293
10/1/1938,6.8955
11/1/1938,7.1724
12/1/1938,7.2555
1/1/1939,7.2555
2/1/1939,7.3109
3/1/1939,7.3386
4/1/1939,7.3109
5/1/1939,7.2832
6/1/1939,7.4494
7/1/1939,7.6709
8/1/1939,7.7817
9/1/1939,8.2525
10/1/1939,8.6678
11/1/1939,8.8894
12/1/1939,8.8894
1/1/1940,8.7786
2/1/1940,8.5017
3/1/1940,8.3078
4/1/1940,8.474
5/1/1940,8.7232
6/1/1940,9.0002
7/1/1940,9.1109
8/1/1940,9.1663
9/1/1940,9.3602
10/1/1940,9.4986
11/1/1940,9.7202
12/1/1940,10.0525
1/1/1941,10.3017
2/1/1941,10.6063
3/1/1941,10.9386
4/1/1941,10.9663
5/1/1941,11.4648
6/1/1941,11.5479
7/1/1941,11.6864
8/1/1941,11.8248
9/1/1941,11.8248
10/1/1941,11.9356
11/1/1941,11.991
12/1/1941,12.1848
1/1/1942,12.4341
2/1/1942,12.6556
3/1/1942,12.7941
4/1/1942,12.4341
5/1/1942,12.4617
6/1/1942,12.4895
7/1/1942,12.7941
8/1/1942,13.1818
9/1/1942,13.4864
10/1/1942,13.9295
11/1/1942,14.2618
12/1/1942,14.5941
1/1/1943,14.7326
2/1/1943,15.1203
3/1/1943,15.231
4/1/1943,15.4249
5/1/1943,15.5356
6/1/1943,15.4526
7/1/1943,15.9233
8/1/1943,16.2557
9/1/1943,16.6711
10/1/1943,16.9203
11/1/1943,17.1418
12/1/1943,16.9203
1/1/1944,17.1141
2/1/1944,17.2526
3/1/1944,17.2249
4/1/1944,17.2249
5/1/1944,17.1142
6/1/1944,17.0588
7/1/1944,17.0311
8/1/1944,17.2526
9/1/1944,17.1418
10/1/1944,17.1972
11/1/1944,17.0588
12/1/1944,17.0034
1/1/1945,16.8372
2/1/1945,16.7818
3/1/1945,16.671
4/1/1945,16.3664
5/1/1945,15.9234
6/1/1945,15.5633
7/1/1945,15.2034
8/1/1945,13.6249
9/1/1945,12.4064
10/1/1945,11.9079
11/1/1945,12.351
12/1/1945,12.4064
1/1/1946,11.714
2/1/1946,11.1325
3/1/1946,12.2956
4/1/1946,12.0741
5/1/1946,11.631
6/1/1946,12.351
7/1/1946,12.7664
8/1/1946,13.2371
9/1/1946,13.4864
10/1/1946,13.7356
