year,month,excessequity,excessequity3mo,log_e_eom,log_q_eom,cip_govt_3m_2020,diffy_3m_2020,log_ip_oecd_USD,diff_log_ip
1935,3,,,0,0,,,0,0
1935,6,,,0,0,,,0,0
1935,9,,,0,0,,,0,0
1935,12,,,0,0,,,0,0
1936,3,,,0,0,,,0,0
1936,6,,,0,0,,,0,0
1936,9,,,0,0,,,0,0
1936,12,,,0,0,,,0,0
1937,3,,,0,0,,,0,0
1937,6,,,0,0,,,0,0
1937,9,,,0,0,,,0,0
1937,12,,,0,0,,,0,0
1938,3,,,0,0,,,0,0
1938,6,,,0,0,,,0,0
1938,9,,,0,0,,,0,0
1938,12,,,0,0,,,0,0
1939,3,,,0,0,,,0,0
1939,6,,,0,0,,,0,0
1939,9,,,0,0,,,0,0
1939,12,,,0,0,,,0,0
1940,3,,,0,0,,,0,0
1940,6,,,0,0,,,0,0
1940,9,,,0,0,,,0,0
1940,12,,,0,0,,,0,0
1941,3,,,0,0,,,0,0
1941,6,,,0,0,,,0,0
1941,9,,,0,0,,,0,0
1941,12,,,0,0,,,0,0
1942,3,,,0,0,,,0,0
1942,6,,,0,0,,,0,0
1942,9,,,0,0,,,0,0
1942,12,,,0,0,,,0,0
1943,3,,,0,0,,,0,0
1943,6,,,0,0,,,0,0
1943,9,,,0,0,,,0,0
1943,12,,,0,0,,,0,0
1944,3,,,0,0,,,0,0
1944,6,,,0,0,,,0,0
1944,9,,,0,0,,,0,0
1944,12,,,0,0,,,0,0
1945,3,,,0,0,,,0,0
1945,6,,,0,0,,,0,0
1945,9,,,0,0,,,0,0
1945,12,,,0,0,,,0,0
1946,3,,,0,0,,,0,0
1946,6,,,0,0,,,0,0
1946,9,,,0,0,,,0,0
1946,12,,,0,0,,,0,0
1947,3,,,0,0,,,0,0
1947,6,,,0,0,,,0,0
1947,9,,,0,0,,,0,0
1947,12,,,0,0,,,0,0
1948,3,,,0,0,,,0,0
1948,6,,,0,0,,,0,0
1948,9,,,0,0,,,0,0
1948,12,,,0,0,,,0,0
1949,3,,,0,0,,,0,0
1949,6,,,0,0,,,0,0
1949,9,,,0,0,,,0,0
1949,12,,,0,0,,,0,0
1950,3,,,0,0,,,0,0
1950,6,,,0,0,,,0,0
1950,9,,,0,0,,,0,0
1950,12,,,0,0,,,0,0
1951,3,,,0,0,,,0,0
1951,6,,,0,0,,,0,0
1951,9,,,0,0,,,0,0
1951,12,,,0,0,,,0,0
1952,3,,,0,0,,,0,0
1952,6,,,0,0,,,0,0
1952,9,,,0,0,,,0,0
1952,12,,,0,0,,,0,0
1953,3,,,0,0,,,0,0
1953,6,,,0,0,,,0,0
1953,9,,,0,0,,,0,0
1953,12,,,0,0,,,0,0
1954,3,,,0,0,,,0,0
1954,6,,,0,0,,,0,0
1954,9,,,0,0,,,0,0
1954,12,,,0,0,,,0,0
1955,3,,,0,0,,,0,0
1955,6,,,0,0,,,0,0
1955,9,,,0,0,,,0,0
1955,12,,,0,0,,,0,0
1956,3,,,0,0,,,0,0
1956,6,,,0,0,,,0,0
1956,9,,,0,0,,,0,0
1956,12,,,0,0,,,0,0
1957,3,,,0,0,,,0,0
1957,6,,,0,0,,,0,0
1957,9,,,0,0,,,0,0
1957,12,,,0,0,,,0,0
1958,3,,,0,0,,,0,0
1958,6,,,0,0,,,0,0
1958,9,,,0,0,,,0,0
1958,12,,,0,0,,,0,0
1959,3,,,0,0,,,0,0
1959,6,,,0,0,,,0,0
1959,9,,,0,0,,,0,0
1959,12,,,0,0,,,0,0
1960,3,,,0,0,,,0,0
1960,6,,,0,0,,,0,0
1960,9,,,0,0,,,0,0
1960,12,,,0,0,,,0,0
1961,3,,,0,0,,,0,0
1961,6,,,0,0,,,0,0
1961,9,,,0,0,,,0,0
1961,12,,,0,0,,,0,0
1962,3,,,0,0,,,0,0
1962,6,,,0,0,,,0,0
1962,9,,,0,0,,,0,0
1962,12,,,0,0,,,0,0
1963,3,,,0,0,,,0,0
1963,6,,,0,0,,,0,0
1963,9,,,0,0,,,0,0
1963,12,,,0,0,,,0,0
1964,3,,,0,0,,,0,0
1964,6,,,0,0,,,0,0
1964,9,,,0,0,,,0,0
1964,12,,,0,0,,,0,0
1965,3,,,0,0,,,0,0
1965,6,,,0,0,,,0,0
1965,9,,,0,0,,,0,0
1965,12,,,0,0,,,0,0
1966,3,,,0,0,,,0,0
1966,6,,,0,0,,,0,0
1966,9,,,0,0,,,0,0
1966,12,,,0,0,,,0,0
1967,3,,,0,0,,,0,0
1967,6,,,0,0,,,0,0
1967,9,,,0,0,,,0,0
1967,12,,,0,0,,,0,0
1968,3,,,0,0,,,0,0
1968,6,,,0,0,,,0,0
1968,9,,,0,0,,,0,0
1968,12,,,0,0,,,0,0
1969,3,,,0,0,,,0,0
1969,6,,,0,0,,,0,0
1969,9,,,0,0,,,0,0
1969,12,,,0,0,,,0,0
1970,3,,,0,0,,,0,0
1970,6,,,0,0,,,0,0
1970,9,,,0,0,,,0,0
1970,12,,,0,0,,,0,0
1971,3,,,-.078405425,0,,,0,0
1971,6,,,.12376931,0,,,0,0
1971,9,,,-3.0974872,0,,,0,0
1971,12,,,-6.1432853,0,,,0,0
1972,3,,,-7.9971991,0,,,0,0
1972,6,,,-7.7626758,0,,,0,0
1972,9,,,-6.5675735,0,,,0,0
1972,12,,,-6.7023678,0,,,0,0
1973,3,,,-14.124266,0,,,0,0
1973,6,,,-20.049719,0,,,0,0
1973,9,,,-17.099979,0,,,0,0
1973,12,,,-12.176325,0,,,0,0
1974,3,,,-15.361432,0,,,0,0
1974,6,,,-15.110208,0,,,0,0
1974,9,,,-12.83484,0,,,0,0
1974,12,,,-16.574806,0,,,0,0
1975,3,,,-19.415213,0,,,0,0
1975,6,,,-17.090895,0,,,0,0
1975,9,,,-8.92307,0,,,0,0
1975,12,,,-9.5712481,0,,,0,0
1976,3,,,-9.8376217,0,,,0,0
1976,6,,,-8.6223669,0,,,0,0
1976,9,,,-10.187596,0,,,0,0
1976,12,,,-10.889978,0,,,0,0
1977,3,,,-10.492104,0,,,0,0
1977,6,,,-9.5408049,0,,,0,0
1977,9,,,-7.3835454,0,,,0,0
1977,12,,,-12.976703,0,,,0,0
1978,3,,,-13.113871,0,,,0,0
1978,6,,,-14.59372,0,,,0,0
1978,9,,,-18.262152,0,,,0,0
1978,12,,,-20.16478,0,,,0,0
1979,3,,,-18.415585,-.4802742,,,0,0
1979,6,,,-18.75708,-1.3372867,,,0,0
1979,9,,,-20.420116,-5.1342864,,,0,0
1979,12,,,-18.157145,-2.5666037,,,0,0
1980,3,,,-12.580587,3.7638295,,,0,0
1980,6,,,-20.807013,-4.5649304,,,0,0
1980,9,,,-20.979589,-5.3451796,,,0,0
1980,12,,,-18.166943,.12548153,,,0,0
1981,3,,,-13.323536,4.885314,,,0,0
1981,6,,,-3.9938786,16.057962,,,0,0
1981,9,,,-1.4727775,19.824926,,,0,0
1981,12,,,-4.5303817,16.566383,,,0,0
1982,3,,,3.5966873,22.20911,,,0,0
1982,6,,,6.7956476,25.427042,,,0,0
1982,9,,,10.151029,29.393879,,,0,0
1982,12,,,10.442072,31.669767,,,0,0
1983,3,,,13.65406,34.5228,,,0,0
1983,6,,,14.312122,35.171394,,,0,0
1983,9,,,15.683233,36.881535,,,0,0
1983,12,,,17.973362,40.01564,,,0,0
1984,3,,,16.380478,37.403019,,,0,0
1984,6,,,21.938179,42.848423,,,0,0
1984,9,,,28.334347,51.246208,,,0,0
1984,12,,,30.989521,54.048992,,,0,0
1985,3,,,29.543201,51.051754,,,0,0
1985,6,,,27.72061,48.209694,,,0,0
1985,9,,,19.40312,38.340469,,,0,0
1985,12,,,14.671679,32.666061,,,0,0
1986,3,,,10.710577,26.83597,,,0,0
1986,6,,,7.5146699,22.037642,,,0,0
1986,9,,,5.6096869,19.357239,,,0,0
1986,12,,,4.3189201,17.913433,,,0,0
1987,3,,,-2.8199124,10.336979,,,0,0
1987,6,,,-2.2753906,10.90367,,,0,0
1987,9,,,-2.0956459,11.313362,,,0,0
1987,12,,,-13.575164,-2.2028008,,,0,0
1988,3,2.4421024,9.1864166,-12.998002,-1.1804011,,,0,0
1988,6,-.75257754,-2.7858188,-6.8715553,6.7079058,,,0,0
1988,9,3.4393151,-1.7926607,-4.8463559,9.2802362,,,0,0
1988,12,.16818935,8.1902733,-9.8987799,3.8651178,,,0,0
1989,3,-1.3621581,-.19170205,-4.855875,9.6780367,,,0,0
1989,6,-2.2956038,-4.1339445,-.38769525,14.970802,,,0,0
1989,9,2.1598551,8.7449884,-3.6389885,11.135705,,,0,0
1989,12,2.4736335,1.2770548,-6.5355358,8.3246641,,,0,0
1990,3,-7.2192283,-17.874992,-5.8906527,8.5626478,,,0,0
1990,6,-1.481705,5.3903542,-8.3508577,5.4612336,,,0,0
1990,9,-11.919554,-22.567293,-13.967042,-.69884974,,,0,0
1990,12,1.3302172,6.7016158,-16.187418,-2.974611,,,0,0
1991,3,-3.5153103,7.5066118,-8.6679029,4.6684647,,,-1.2258886,.56534588
1991,6,-6.9559746,-5.19626,-4.9085059,9.1867924,.43374816,4.02,.87395942,-1.6599319
1991,9,1.8702924,4.9390898,-10.669203,2.5746779,-.15066935,3.4000001,1.9648347,-2.5346174
1991,12,6.6236439,2.5689268,-16.596024,-4.7673454,-.077219225,4.4949999,1.2774961,-2.3410821
