"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1994-05","May-1994","IDX","Index","0","Units","2015_100","2015=100",73.35706,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1994-06","Jun-1994","IDX","Index","0","Units","2015_100","2015=100",74.30956,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1994-07","Jul-1994","IDX","Index","0","Units","2015_100","2015=100",74.29218,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1994-08","Aug-1994","IDX","Index","0","Units","2015_100","2015=100",74.94018,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1994-09","Sep-1994","IDX","Index","0","Units","2015_100","2015=100",75.59383,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1994-10","Oct-1994","IDX","Index","0","Units","2015_100","2015=100",75.34007,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1994-11","Nov-1994","IDX","Index","0","Units","2015_100","2015=100",76.23196,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1994-12","Dec-1994","IDX","Index","0","Units","2015_100","2015=100",77.42553,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1995-01","Jan-1995","IDX","Index","0","Units","2015_100","2015=100",78.25197,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1995-02","Feb-1995","IDX","Index","0","Units","2015_100","2015=100",78.26175,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1995-03","Mar-1995","IDX","Index","0","Units","2015_100","2015=100",77.70402,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1995-04","Apr-1995","IDX","Index","0","Units","2015_100","2015=100",77.53743,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1995-05","May-1995","IDX","Index","0","Units","2015_100","2015=100",77.4592,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1995-06","Jun-1995","IDX","Index","0","Units","2015_100","2015=100",77.31723,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1995-07","Jul-1995","IDX","Index","0","Units","2015_100","2015=100",77.07277,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1995-08","Aug-1995","IDX","Index","0","Units","2015_100","2015=100",77.24371,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1995-09","Sep-1995","IDX","Index","0","Units","2015_100","2015=100",76.99925,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1995-10","Oct-1995","IDX","Index","0","Units","2015_100","2015=100",76.96014,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1995-11","Nov-1995","IDX","Index","0","Units","2015_100","2015=100",77.15571,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1995-12","Dec-1995","IDX","Index","0","Units","2015_100","2015=100",76.79355,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1996-01","Jan-1996","IDX","Index","0","Units","2015_100","2015=100",77.5425,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1996-02","Feb-1996","IDX","Index","0","Units","2015_100","2015=100",77.52294,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1996-03","Mar-1996","IDX","Index","0","Units","2015_100","2015=100",77.03366,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1996-04","Apr-1996","IDX","Index","0","Units","2015_100","2015=100",77.4248,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1996-05","May-1996","IDX","Index","0","Units","2015_100","2015=100",77.81629,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1996-06","Jun-1996","IDX","Index","0","Units","2015_100","2015=100",78.00715,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1996-07","Jul-1996","IDX","Index","0","Units","2015_100","2015=100",78.79993,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1996-08","Aug-1996","IDX","Index","0","Units","2015_100","2015=100",79.06901,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1996-09","Sep-1996","IDX","Index","0","Units","2015_100","2015=100",79.04945,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1996-10","Oct-1996","IDX","Index","0","Units","2015_100","2015=100",78.79993,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1996-11","Nov-1996","IDX","Index","0","Units","2015_100","2015=100",80.03308,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1996-12","Dec-1996","IDX","Index","0","Units","2015_100","2015=100",78.69707,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1997-01","Jan-1997","IDX","Index","0","Units","2015_100","2015=100",80.63586,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1997-02","Feb-1997","IDX","Index","0","Units","2015_100","2015=100",81.5238,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1997-03","Mar-1997","IDX","Index","0","Units","2015_100","2015=100",81.03475,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1997-04","Apr-1997","IDX","Index","0","Units","2015_100","2015=100",82.1517,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1997-05","May-1997","IDX","Index","0","Units","2015_100","2015=100",82.28466,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1997-06","Jun-1997","IDX","Index","0","Units","2015_100","2015=100",81.59015,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1997-07","Jul-1997","IDX","Index","0","Units","2015_100","2015=100",83.61321,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1997-08","Aug-1997","IDX","Index","0","Units","2015_100","2015=100",83.42889,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1997-09","Sep-1997","IDX","Index","0","Units","2015_100","2015=100",83.29298,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1997-10","Oct-1997","IDX","Index","0","Units","2015_100","2015=100",84.26839,,
