 Line, Type of investment,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted
 Line, Type of investment,2006,2006,2006,2006,2007 ,2007 ,2007 ,2007 ,2008,2008,2008,2008,2009 ,2009 ,2009 ,2009 ,2010,2010,2010,2010,2011 ,2011 ,2011 ,2011 ,2012,2012,2012,2012,2013 ,2013 ,2013 ,2013 ,2014,2014,2014,2014,2015 ,2015 ,2015 ,2015 ,2016,2016,2016,2016,2017 ,2017 ,2017 ,2017 ,2018,2018,2018,2018,2019 ,2019 ,2019 ,2019 ,2020,2020
 Line, Type of investment,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 
1,U.S. net international investment position (line 4 less line 36),-1655616,-1678770,-2005759,-1807819,-1654166,-1421382,-1231443,-1278830,-1849030,-1834418,-3309018,-3994625,-3856030,-3199376,-2669479,-2626940,-2769046,-3180635,-2746288,-2511072,-2638416,-2785304,-4134034,-4454616,-4546660,-5220622,-4952111,-4517094,-5041011,-5463827,-4928606,-5367563,-5427447,-5408562,-6140811,-6944154,-6868829,-6772449,-7299578,-7460181,-7754542,-8205746,-7983363,-8129303,-7912846,-7775667,-7525468,-7622208,-7715094,-8776068,-9539807,-9674443,-10144995,-10487872,-10935439,-11050506,-12163277,-13045854
8,        Equity,3742286,3759413,3946249,4294301,4519858,4885181,5091557,5090968,4662608,4549537,3745841,2928147,2675469,3255552,3920909,4097179,4235279,3729883,4336654,4620850,4922315,4944415,4061664,4320052,4741340,4449252,4813387,4983895,5242987,5167442,5706527,6054227,6133261,6440552,6181309,6059586,6218863,6239591,5677143,5812337,5851700,5820403,6177992,6185809,6634191,6947525,7405893,7683805,7283990,7160283,7219340,6149408,6836314,7063751,6996028,7485049,5728660,6688709
9,        Debt instruments,638511,650822,654828,635591,696273,698321,721365,766955,788845,815932,812635,779064,822471,857904,873466,848113,823203,811062,826646,865541,888774,911257,894275,894774,934655,964566,966240,985607,999839,1052806,1055081,1066461,1148683,1149808,1167695,1182543,1232019,1251213,1222356,1244771,1239526,1246107,1265355,1217382,1244295,1229494,1267007,1239283,1350077,1299087,1322721,1294509,1258604,1330999,1309138,1313616,1275044,1253768
10,      Portfolio investment,5038569,5121916,5428603,6017080,6288275,6852231,7272284,7262045,6844546,6669792,5374215,4320819,4087167,4984745,5879511,6058554,6286609,5840898,6724001,7160366,7497835,7644691,6672316,6871732,7402530,7084752,7628749,7983961,8256721,8181737,8785811,9206105,9433307,10065636,9759712,9704248,10123976,10240032,9401124,9570185,9550134,9647771,10073874,10011368,10724338,11336323,11997034,12571465,12663760,12351906,12532014,11433604,12294695,12655552,12601417,13375892,11001215,12392287
11,        Equity and investment fund shares,3682411,3673580,3828619,4328960,4536363,4958299,5262469,5247990,4786880,4701709,3636110,2748428,2456973,3162209,3836151,3995295,4135014,3734612,4475807,4900246,5159980,5204875,4287221,4501438,5005403,4673015,5048350,5321857,5546349,5541381,6084914,6472877,6647696,7101816,6828948,6770629,7174471,7311250,6545989,6756163,6665318,6728339,7148103,7146320,7712310,8206770,8724834,9118138,9140032,8845101,8980931,7899563,8687158,8894576,8720926,9459095,7370845,8545643
12,        Debt securities,1356158,1448336,1599984,1688120,1751912,1893932,2009815,2014055,2057666,1968083,1738105,1572391,1630194,1822536,2043360,2063259,2151595,2106286,2248194,2260120,2337855,2439816,2385095,2370294,2397127,2411737,2580399,2662104,2710372,2640356,2700897,2733228,2785611,2963820,2930764,2933619,2949505,2928782,2855135,2814022,2884816,2919432,2925771,2865048,3012028,3129553,3272200,3453327,3523728,3506805,3551083,3534041,3607537,3760976,3880491,3916797,3630370,3846644
13,          Short term,301906,333987,385546,388839,361852,428230,436296,383890,397816,394735,373262,314103,348821,377680,449982,437491,466078,428039,438787,472810,483857,510237,429820,416631,401196,408763,448216,414909,431487,451941,475640,449683,431058,477112,468605,447179,472876,495903,508224,488045,526233,501325,453995,451093,492362,529588,601744,640108,672944,667705,686741,651624,668529,693010,752936,734031,669471,666815
14,          Long term,1054251,1114349,1214438,1299281,1390060,1465702,1573519,1630165,1659850,1573348,1364843,1258288,1281373,1444856,1593378,1625768,1685518,1678247,1809406,1787310,1853998,1929578,1955276,1953663,1995931,2002974,2132183,2247195,2278886,2188415,2225257,2283544,2354553,2486709,2462159,2486440,2476629,2432879,2346911,2325977,2358583,2418108,2471777,2413955,2519666,2599965,2670456,2813220,2850784,2839101,2864342,2882418,2939008,3067966,3127555,3182766,2960899,3179829
15,"      Financial derivatives other than reserves, gross positive fair value",1189856,1296050,1194164,1238995,1255575,1546712,1720605,2559332,4186275,3638417,3241052,6127450,5561851,4054450,4131036,3489779,3429046,4310312,4783698,3652313,3194303,3473224,5213598,4716578,3950239,4155820,3925606,3619761,3248377,2825067,2761416,3017100,2652910,2696279,2786822,3252308,3409198,2492288,2768075,2443371,3057027,3312870,2786084,2220453,1954447,1931341,1705114,1560816,1522631,1525923,1447261,1449590,1500077,1772165,2078260,1790402,2996080,2750789
16,        Over-the-counter contracts,1168623,1270737,1173055,1213354,1232097,1516672,1687484,2526075,4142982,3575564,3190484,6065174,5525465,4021819,4098904,3460696,3386131,4279105,4754629,3621801,3160764,3442377,5150885,4668527,3903938,4108439,3883568,3585781,3212569,2778730,2718224,2980312,2617079,2661860,2743095,3182186,3340966,2439043,2710710,2399803,3010497,3252270,2743002,2183788,1918898,1893755,1663062,1496942,1470592,1461729,1383929,1408899,1469087,1733512,2038002,1755306,2908299,2699878
17,          Single-currency interest rate contracts,839046,902011,803357,793057,798480,1004345,936941,1463086,2363064,1825236,1655033,4053356,3722984,2779770,3052513,2596825,2613592,3437872,3915177,2844526,2412085,2697781,4151873,3861581,3207155,3420939,3252272,2973245,2616516,2205507,2171063,2388410,2072249,2188147,2101592,2485718,2619713,1881166,2130450,1852730,2441806,2651999,2290728,1635782,1485350,1428250,1201796,1063254,1030700,967371,906830,928848,1027014,1291881,1561674,1297504,2128748,2195135
