"Table 1.2. U.S. Net International Investment Position at the End of the Period, Expanded Detail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars]    NOTE:  End of quarter positions begin in the fourth quarter of 2005. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: September 29, 2020 - Next Release Date: December 29, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,Type of investment,1976,1977 ,1978,1979 ,1980,1981 ,1982,1983 ,1984,1985 ,1986,1987 ,1988,1989 ,1990,1991 ,1992,1993 ,1994,1995 ,1996,1997 ,1998,1999 ,2000,2001 ,2002,2003 ,2004,2005 ,2006,2007 ,2008,2009 ,2010,2011 ,2012,2013 ,2014,2015 ,2016,2017 ,2018,2019 
15,"      Financial derivatives other than reserves, gross positive fair value",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1190029,1238995,2559332,6127450,3489779,3652313,4716578,3619761,3017100,3252308,2443371,2220453,1560816,1449590,1790402
16,        Over-the-counter contracts,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1171172,1213354,2526075,6065174,3460696,3621801,4668527,3585781,2980312,3182186,2399803,2183788,1496942,1408899,1755306
17,          Single-currency interest rate contracts,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,853993,793057,1463086,4053356,2596825,2844526,3861581,2973245,2388410,2485718,1852730,1635782,1063254,928848,1297504
18,          Foreign exchange contracts,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,147057,176267,290943,497234,277387,330298,323413,280217,307972,419019,346231,387942,264381,303617,288123
19,          Other contracts,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,170122,244030,772046,1514584,586484,446977,483533,332319,283930,277449,200842,160064,169307,176434,169679
20,        Exchange-traded contracts,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,18857,25641,33257,62276,29083,30512,48051,33980,36788,70122,43568,36665,63874,40691,35096
21,      Other investment,146430,163385,207992,237271,292294,380801,486123,621434,638909,659695,742536,790810,866539,953334,962121,958514,934225,948862,1046321,1145983,1308550,1523978,1604088,1772853,2023198,2169538,2347433,2224376,2824869,3303420,4004691,4748656,4974882,4529716,4980804,4869469,4417488,4353632,4251213,3977771,3990657,4267261,4457586,4673402
22,        Other equity,5112,5982,6849,7401,8196,9338,10345,11714,13140,14441,15923,17134,18448,19621,20925,22429,23856,24999,26429,27947,29781,31370,32950,34401,36416,38038,39430,40733,42585,43723,45662,47243,48549,50117,52024,53747,55906,57936,59994,62091,63838,65344,66673,68039
23,        Currency and deposits,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1059951,1210253,1517951,1661683,1960739,2316936,2813073,2539562,2767247,2581531,2061681,1975717,1807094,1632883,1572334,1773901,1854122,2010643
24,        Loans,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1217678,939788,1231618,1564458,1960904,2336091,2068858,1894958,2110455,2179093,2244177,2266610,2337094,2238044,2309092,2376520,2484431,2541376
