Table 1.1. U.S. International Transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: September 18, 2020 - Next Release Date: December 18, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Line, ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted
8,  Secondary income (current transfer) receipts /1/,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,7778,9078,8667,8861,9381,8972,9384,9808,9802,10128,10420,11061,11936,12872,13765,14445,14060,16024,16005,15942,14792,14348,14584,16422,19043,13833,16159,16320,18728,17156,15929,18495,15456,16649,18275,19802,18679,20248,20588,25032,22426,21655,20079,20996,21141,23502,23062,24209,23720,25127,25842,26964,25604,26932,29225,30304,30863,29752,31464,33881,33993,43477,31489,31948,32634,34416,31628,32829,33851,34663,34897,36290,42366,36070,42695,35963,34759,36570,37681,36002,34944,35298,37387,34355,35048,34078
9,Imports of goods and services and income payments (debits),6819,7335,7016,6562,6390,6991,7096,7104,7130,7794,7511,7518,7221,8173,8112,7859,7670,8573,8553,8546,8071,9881,9659,9682,9823,11143,11354,11105,11158,11851,11912,11849,12376,13520,14414,13989,12320,15969,15757,15688,15294,16861,17231,16669,16668,19101,19611,18438,20743,21760,22539,22738,23763,27090,26987,28072,32454,37740,38211,38116,35078,34190,34863,35691,37905,41116,44592,44183,46892,50328,50495,51277,54553,59005,60322,61779,63289,70042,74652,80267,87051,85415,83030,86628,91835,96317,94199,93547,93438,94994,97185,91679,88088,98032,105350,109358,115185,127370,129428,129091,119287,129725,129772,133490,131768,141240,143057,143942,140762,154383,160894,167088,164096,171648,175490,182735,178366,190555,191521,192432,188767,195364,203840,203126,164480,179888,192243,194162,186335,199957,209222,212060,198568,215941,222151,232612,220977,241610,260702,271025,263999,282532,289461,285624,281704,297805,310653,315734,312271,330384,345650,348233,334468,352130,361664,366217,360765,390847,418278,430171,437966,470121,490860,489091,459333,451423,442719,408746,409481,454773,469708,467653,463115,482876,500826,512619,519589,570415,588181,618809,605798,650750,675914,709924,696786,759871,788810,775397,767003,823367,843135,850980,843156,901505,914477,791762,632286,650902,697907,729803,712925,778623,812559,815360,816705,887924,904757,882591,864794,904743,904969,894806,855387,903956,917875,910392,882606,950783,959984,953547,875799,930048,937372,900486,857066,909019,932632,931589,909997,975735,996122,1025423,993017,1063382,1087799,1098362,1030868,1093875,1097631,1063789,977453,861734
10,  Imports of goods and services,5532,5849,5819,5233,5108,5481,5871,5748,5697,6187,6288,6180,5755,6400,6790,6466,6227,6851,7189,7052,6533,7869,8130,8089,8101,8980,9654,9252,9165,9680,9941,9943,10356,11296,12118,11522,10153,13163,13124,12690,12508,13863,14250,13764,13733,16037,16431,14779,17015,18151,18561,18937,20233,22751,22665,23693,26480,32271,33128,33310,29979,28684,30426,31092,33487,36659,39045,39607,42598,45544,45520,45885,48801,52223,53328,53839,54642,60770,64395,68889,74493,73423,70544,72782,76463,79929,76993,77185,74574,75136,77411,72271,70843,79844,85652,87535,92625,102648,103139,101754,94396,104785,104248,107522,104927,112598,115614,115433,112883,124684,129789,133197,129801,136691,137941,141281,137028,146928,147798,148391,145609,150957,158253,161279,144076,150126,156248,159029,150428,161988,171024,172654,163913,177933,183861,187467,180467,196950,210361,213969,209301,226027,228992,226451,222231,238006,247591,247839,242690,259071,271086,269879,258478,273885,282343,284608,275721,300975,323481,332158,335244,359940,380471,376995,353790,350895,342129,328926,316241,352884,366600,371036,357255,374998,390136,402039,402007,442193,458736,476022,457771,497369,517349,535556,519011,561873,581748,564891,546127,589255,610628,625802,611523,671616,695360,583437,452794,469189,519368,546213,533929,594254,623733,623491,621214,684873,703339,688648,669651,707427,703042,693239,652340,697585,709515,700625,673638,733415,739754,729605,664204,707683,710392,688726,636893,681888,700128,700183,678403,728349,734981,759448,733732,781561,801440,802586,739834,795334,799286,770672,703646,612835
11,    Goods,3836,3867,3560,3495,3409,3468,3691,3969,3952,4096,3980,4232,3948,4244,4327,4529,4366,4600,4679,5055,4610,5493,5495,5912,5913,6270,6540,6770,6614,6586,6416,7250,7684,8202,8471,8634,7330,9742,9165,9570,9474,10034,9836,10522,10471,11975,11845,11288,13358,13643,13709,15087,16178,17630,17278,19413,22113,26576,26966,28156,24966,23123,24212,25884,28173,30416,31983,33656,36540,38283,37808,39276,41862,44114,44184,45842,46717,51402,54099,59789,64956,62870,59176,62748,65902,67930,64608,66627,62660,61432,63535,60015,58852,65614,70304,74131,78202,84913,83772,85531,78579,85585,83734,90190,87114,92674,92524,96113,93587,101248,104400,110530,107442,111540,110605,117602,114067,120898,119242,123458,119839,121461,125287,131851,116412,119837,124527,130244,122902,131734,138225,143667,136194,146396,150197,156607,150167,162978,173862,181683,177389,189998,190392,191595,187681,199437,205505,210490,205113,217019,225413,229249,218324,227923,232809,239581,231490,250880,270120,283101,286144,303657,319534,322387,300650,292324,283528,277198,262394,294091,305383,311413,299772,313872,322028,336417,336169,369171,381497,401512,385655,418445,434927,456794,438804,472860,490558,475972,458387,491683,508147,528131,514531,565109,583417,478230,357442,366969,413437,442177,433729,484042,508162,513017,516639,567051,581533,574662,559727,586504,580397,577121,543785,578408,589000,583054,558517,607698,613665,605600,548498,580320,581381,563051,517113,551286,566960,571836,553300,588396,591959,622691,602682,637616,655419,661534,602936,641962,646250,625620,573130,511739
12,    Services,1696,1982,2259,1738,1699,2013,2180,1779,1745,2091,2308,1948,1807,2156,2463,1937,1861,2251,2510,1997,1923,2376,2635,2177,2188,2710,3114,2482,2551,3094,3525,2693,2672,3094,3647,2888,2823,3421,3959,3120,3034,3829,4414,3242,3262,4062,4586,3491,3657,4508,4852,3850,4055,5121,5387,4280,4367,5695,6162,5154,5013,5561,6214,5208,5314,6243,7062,5951,6058,7261,7712,6609,6939,8109,9144,7997,7925,9368,10296,9100,9537,10553,11368,10034,10561,11999,12385,10558,11914,13704,13876,12256,11991,14230,15348,13404,14423,17735,19367,16223,15817,19200,20514,17332,17813,19924,23090,19320,19296,23436,25389,22667,22359,25151,27336,23679,22961,26030,28556,24933,25770,29496,32966,29428,27664,30289,31721,28785,27526,30254,32799,28987,27719,31537,33664,30860,30300,33972,36499,32286,31912,36029,38600,34856,34550,38569,42086,37349,37577,42052,45673,40630,40154,45962,49534,45027,44231,50094,53361,49057,49100,56283,60937,54608,53140,58570,58601,51727,53847,58794,61217,59622,57483,61126,68109,65622,65839,73022,77238,74510,72117,78925,82422,78762,80207,89013,91190,88919,87740,97572,102481,97671,96993,106507,111943,105207,95352,102219,105931,104036,100200,110211,115571,110474,104574,117822,121806,113986,109924,120923,122645,116118,108555,119178,120515,117571,115121,125717,126088,124006,115706,127363,129011,125675,119781,130602,133168,128347,125103,139953,143023,136757,131051,143945,146021,141052,136897,153373,153037,145052,130516,101097
13,  Primary income payments,329,314,301,294,291,299,311,344,318,329,326,351,356,381,391,433,424,437,431,491,495,506,519,568,573,586,628,695,674,666,665,742,774,837,860,907,998,1135,1322,1414,1415,1392,1374,1333,1216,1239,1418,1563,1470,1579,1648,1875,2048,2351,2537,2720,2599,2931,3345,3209,3129,3089,3264,3083,3320,3268,3331,3393,3023,3362,3627,4206,4358,5302,5619,6401,7249,7811,8513,9388,10409,10354,10604,11166,12660,13675,14144,13147,14906,16093,15784,14576,13682,14461,15518,15982,18190,20460,21255,20669,19771,19925,19849,19779,21587,22582,21099,22036,22665,24434,25498,26712,28231,29588,31781,33381,35223,38209,37222,35906,36515,37076,38374,36380,35125,33787,33053,29233,28662,30013,28795,27375,26384,29154,28615,32134,31896,36216,40543,43647,45088,47743,50962,48978,48159,50875,53269,54909,59314,61469,63992,63975,63724,66269,66484,65501,67173,71153,76435,77805,83480,89871,89458,88171,82477,76592,75548,53503,66659,76460,77115,68652,77833,78614,81318,79913,84714,96155,97392,107995,111446,119602,122959,138101,144865,162506,171416,175157,180726,196771,192502,182582,186859,185952,173968,161446,134331,134686,130374,138293,132169,137527,140101,143513,142974,152370,150617,143078,145672,147225,150412,150445,152099,154394,153569,155979,154970,161653,163289,165711,154662,165625,167345,152092,158374,166650,169384,166390,168388,180650,191007,199685,196761,215954,219125,225458,221645,228728,227163,221811,201895,180307
14,    Investment income,329,314,301,294,291,299,311,344,318,329,326,351,356,381,391,433,424,437,431,491,495,506,519,568,573,586,628,695,674,666,665,742,774,837,860,907,998,1135,1322,1414,1415,1392,1374,1333,1216,1239,1418,1563,1470,1579,1648,1875,2048,2351,2537,2720,2599,2931,3345,3209,3129,3089,3264,3083,3320,3268,3331,3393,3023,3362,3627,4206,4358,5302,5619,6401,7249,7811,8513,9388,10409,10354,10604,11166,12660,13675,14144,13147,14906,16093,15784,14576,13682,14461,15518,15982,18190,20460,21255,20669,19771,19925,19849,19779,20911,21930,20436,21349,22036,23822,24947,26166,27755,29130,31368,32881,34707,37682,36665,35220,35724,36274,37491,35392,34241,32855,32015,28061,27556,28874,27574,26089,25239,27938,27291,30687,30538,34777,38991,42044,43633,46237,49337,47301,46740,49372,51640,53160,57804,59885,62255,62140,62148,64632,64653,63551,64328,68169,73652,74926,80792,86879,86371,85066,79611,73479,72276,50254,63705,73237,73794,65334,74666,75258,77918,76480,81327,92396,93702,104288,107589,115401,118772,133939,140892,158197,167260,170952,176931,192608,188477,178455,182647,181659,169652,157053,130969,131086,126725,134996,129225,134078,136398,140083,139875,148815,146844,139564,142532,143482,146510,146922,148796,150485,149445,152105,151519,157551,158938,161668,151062,161416,162784,147769,154593,162246,164668,161975,164786,176409,186358,195282,193118,211717,214365,220981,217656,224083,222037,216787,197892,176691
15,    Compensation of employees,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,676,652,663,687,629,612,551,546,476,458,413,500,516,527,557,686,791,802,883,988,884,932,1038,1172,1106,1139,1221,1286,1145,1216,1324,1447,1358,1439,1552,1603,1455,1506,1625,1677,1419,1503,1629,1749,1510,1584,1737,1835,1576,1637,1831,1950,2845,2984,2782,2879,2688,2992,3087,3106,2866,3112,3273,3250,2954,3223,3321,3318,3167,3356,3400,3433,3387,3759,3690,3707,3857,4200,4187,4162,3973,4309,4157,4205,3795,4163,4025,4127,4212,4293,4316,4393,3362,3600,3649,3298,2944,3450,3704,3430,3098,3555,3772,3514,3141,3742,3901,3524,3303,3909,4124,3874,3451,4102,4351,4043,3600,4209,4561,4323,3781,4404,4716,4415,3602,4241,4649,4404,3643,4238,4760,4477,3989,4645,5126,5025,4003,3616
16,  Secondary income (current transfer) payments /1/,958,1172,896,1035,991,1211,914,1012,1115,1278,897,987,1110,1392,931,960,1019,1285,933,1003,1043,1506,1010,1025,1149,1577,1072,1158,1319,1505,1306,1164,1246,1387,1436,1560,1169,1671,1311,1584,1371,1606,1607,1572,1719,1825,1762,2096,2258,2030,2330,1926,1482,1988,1785,1659,3375,2538,1738,1597,1970,2417,1173,1516,1098,1189,2216,1183,1271,1422,1348,1186,1394,1480,1375,1539,1398,1461,1744,1990,2149,1638,1882,2680,2712,2713,3062,3215,3958,3765,3990,4832,3563,3727,4180,5841,4370,4262,5034,6668,5120,5015,5675,6189,5254,6060,6344,6473,5214,5265,5607,7179,6064,5369,5768,8073,6115,5418,6501,8135,6643,7331,7213,5467,-14721,-4025,2942,5900,7245,7956,9403,12031,8271,8854,9675,13011,8614,8444,9798,13409,9610,8762,9507,10195,11314,8924,9793,12986,10267,9844,10572,14379,12266,11976,12837,16108,17871,18720,18362,20208,19242,20310,20931,23925,23067,23937,25042,26317,26582,25428,25993,27965,28027,29264,29373,30667,32867,32068,32053,34792,36580,33779,35606,36266,32910,35492,35645,35348,40150,37341,40005,42596,44774,43937,45149,46879,45162,47028,48166,45297,46827,46842,48724,48356,52517,50680,50801,50866,49470,50092,51515,51121,50948,51977,54791,53789,53998,55715,56941,58231,56933,56740,59635,59668,61799,60481,63120,65017,63206,66736,70133,66290,62523,65867,67235,70318,69389,69813,71181,71306,71912,68591
 ,Capital account, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,Capital transfer receipts and other credits,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,0,0,0,0,0,0,0,0,0,0,0,1535,0,1,1,1,1,1,1,1,1,2,131,3,124,0,1,0,1,3,4,4,4,4,4,4,4,7,9,16,13,10,10,11,11,9,9,13202,12,13,14,15,16,19,20,26,23,17,16,3713,19,23,21,15404,25,1,2,4,3,4,494,3,1,(*),4,6174,2,1,1,3,2,(*),2,4,3,(*),1,6,6,4,3,7,7670,5,5,7,3,9,4,18,18,16,15,18,17,25,15,21,16,10,23,19161,6,7,8,534,2737,41,4,15,6,19,16
18,Capital transfer payments and other debits,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,207,172,0,0,7049,1068,99,3960,2,13,63,6,5,624,14,70,12,9,866,229,10,10,12,447,12,3,2,2,2,19,92,117,44,6,1,17,1,286,367,353,5468,512,364,822,2561,99,136,352,477,2158,360,387,978,1930,2911,2434,1314,2900,1134,1912,2163,6157,1952,2420,3995,2517,1847,1432,1654,3078,822,933,1727,2865,900,1024,1564,952,2313,1363,1257,3169,1078,1175,1479,1695,4093,1539,1705,2051,1797,1531,1373,1676,1887,1469,1547,2371,1302,1238,1673,3015,1281,2202,1508,2260,1093,1373,1956,2126,2023,948,1709,1412,2919,989,2161,2584,852,850,2026,2990,1069
 ,Financial account, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,Net U.S. acquisition of financial assets excluding financial derivatives (net increase in assets / financial outflow (+)),1096,1303,716,984,1338,1192,1685,1323,1298,1603,17,1256,1886,2733,607,2044,2009,2131,1985,3435,1450,1461,1156,1648,1294,2310,1291,2426,1304,2512,2699,3242,1408,2936,3156,3477,2509,4108,2995,1972,3584,2654,1573,1525,3585,3282,2987,2620,4912,2501,3211,3873,8009,4441,3030,7394,6142,10702,7631,10270,10875,9882,4980,13966,12667,12045,10448,16109,1437,12339,6258,14751,15399,5775,9455,30501,9502,15709,26687,14155,14564,24828,19060,28516,23501,24053,17398,49195,37993,49901,29187,25641,31087,6923,13702,22978,13899,33843,-12230,15228,7670,4246,6039,29109,16726,26423,30631,33472,-3573,29979,28054,29598,-3434,25793,53052,30336,56954,11550,60906,53498,-35179,42306,56333,40525,15248,1260,30667,28578,13703,22575,22153,26468,27663,49345,64597,57794,44076,47047,37359,60276,70560,120459,49917,122619,83664,72193,95574,173117,154539,99502,130303,117680,76865,140609,68378,100084,95696,189221,135222,106474,227139,113394,84124,163024,212379,98252,-29491,105173,92880,161786,7875,56635,96077,164741,11429,98857,376079,182993,190552,309037,132193,238597,214416,-22209,430838,243832,302966,346986,553802,581285,225296,203084,266966,-158757,-85193,-340609,-111137,-19016,323641,-62406,263037,171357,317157,207186,398543,10872,93897,-10756,-68007,-166158,304763,106339,223053,225958,34909,165832,199188,229955,353070,84489,360180,56488,-62335,-156974,51392,367219,45324,-128702,364622,334304,408525,80737,340571,-213461,117116,114746,104415,166780,147267,22289,848076,-141106
20,  Direct investment assets,679,664,698,899,783,630,692,549,542,800,747,762,960,934,643,946,790,1002,962,1005,1540,1327,961,1183,1024,1545,1197,1653,1383,892,1239,1292,1185,1361,1681,1067,1627,1928,1728,677,2230,2617,1755,988,2365,2411,2386,456,2766,1743,2192,1046,3800,2918,2075,2560,-850,2128,4460,3314,4109,4274,1495,4366,4033,2327,3301,2288,2057,4005,2677,3152,4889,3947,2468,4753,5918,7417,6675,5213,5849,2790,3538,7045,2422,5613,585,1004,4255,6077,4712,4353,2970,5808,6336,5730,7278,10138,6261,3093,4803,6332,4978,5128,8986,8848,2969,-1279,11035,10858,9037,8865,4418,4993,10906,1384,15316,11054,18035,6568,13080,9713,30521,6620,19066,3149,24147,2891,22901,16538,13810,5506,21154,26766,24777,10102,32890,16302,22727,18069,25114,17448,24378,43101,26992,19166,27123,29743,31354,31233,32133,26632,44271,46670,30337,53473,79571,56985,75794,35135,54467,58122,38895,34886,31561,38333,47694,28453,56189,58237,41932,22627,36420,53812,51273,53713,99384,87869,73083,113670,61821,57734,-2109,-64855,101935,55037,79728,47100,167491,106502,112730,137166,120827,114359,94963,13435,86845,95085,100960,29707,106822,79264,115129,48613,139404,153302,80081,63827,119775,97649,95237,64578,84028,145049,108076,55643,79942,94958,123610,89018,100443,102786,63234,35608,89142,121176,101084,-11588,133201,95543,139433,37198,-38371,-95107,81714,-99535,8072,123376,30620,26401,8153,42357
